Repeat,VAR2,Point,CH1 Voltage,CH1 Current,CH1 Time
1,1,140,10.00000E+000,1.18991E-006,17.06686E+000
1,1,141,10.00000E+000,1.20022E-006,17.18872E+000
1,1,142,10.00000E+000,1.19731E-006,17.31061E+000
1,1,143,10.00000E+000,1.19519E-006,17.43248E+000
1,1,144,10.00000E+000,1.18726E-006,17.55435E+000
1,1,145,10.00000E+000,1.20273E-006,17.67629E+000
1,1,146,10.00000E+000,1.21006E-006,17.79815E+000
1,1,147,10.00000E+000,1.19773E-006,17.92008E+000
1,1,148,10.00000E+000,1.20270E-006,18.04194E+000
1,1,149,10.00000E+000,1.20201E-006,18.16384E+000
1,1,150,10.00000E+000,1.20251E-006,18.28571E+000
1,1,151,10.00000E+000,1.20871E-006,18.40757E+000
1,1,152,10.00000E+000,1.20947E-006,18.52948E+000
1,1,153,10.00000E+000,1.20731E-006,18.65134E+000
1,1,154,10.00000E+000,1.19939E-006,18.77319E+000
1,1,155,10.00000E+000,1.20761E-006,18.89503E+000
1,1,156,10.00000E+000,1.19405E-006,19.01696E+000
1,1,157,10.00000E+000,1.19277E-006,19.13883E+000
1,1,158,10.00000E+000,1.20312E-006,19.26073E+000
1,1,159,10.00000E+000,1.19157E-006,19.38261E+000
1,1,160,10.00000E+000,1.19037E-006,19.50455E+000
1,1,161,10.00000E+000,1.18948E-006,19.62644E+000
1,1,162,10.00000E+000,1.19380E-006,19.74832E+000
1,1,163,10.00000E+000,1.19461E-006,19.87018E+000
1,1,164,10.00000E+000,1.17594E-006,19.99231E+000
1,1,165,10.00000E+000,1.18648E-006,20.11426E+000
1,1,166,10.00000E+000,1.18274E-006,20.23610E+000
1,1,167,10.00000E+000,1.19853E-006,20.35799E+000
1,1,168,10.00000E+000,1.19407E-006,20.47983E+000
1,1,169,10.00000E+000,1.19645E-006,20.60177E+000
1,1,170,10.00000E+000,1.19607E-006,20.72363E+000
1,1,171,10.00000E+000,1.19043E-006,20.84550E+000
1,1,172,10.00000E+000,1.19550E-006,20.96737E+000
1,1,173,10.00000E+000,1.20276E-006,21.08922E+000
1,1,174,10.00000E+000,1.20606E-006,21.21107E+000
1,1,175,10.00000E+000,1.20435E-006,21.33340E+000
1,1,176,10.00000E+000,1.19886E-006,21.45535E+000
1,1,177,10.00000E+000,1.20536E-006,21.57729E+000
1,1,178,10.00000E+000,1.19297E-006,21.69915E+000
1,1,179,10.00000E+000,1.21256E-006,21.82104E+000
1,1,180,10.00000E+000,1.19096E-006,21.94295E+000
1,1,181,10.00000E+000,1.20212E-006,22.06483E+000
1,1,182,10.00000E+000,1.19497E-006,22.18674E+000
1,1,183,10.00000E+000,1.19088E-006,22.30860E+000
1,1,184,10.00000E+000,1.20043E-006,22.43047E+000
1,1,185,10.00000E+000,1.19074E-006,22.55234E+000
1,1,186,10.00000E+000,1.18267E-006,22.67421E+000
1,1,187,10.00000E+000,1.17339E-006,22.79608E+000
1,1,188,10.00000E+000,1.18420E-006,22.91801E+000
1,1,189,10.00000E+000,1.19048E-006,23.03989E+000
1,1,190,10.00000E+000,1.17764E-006,23.16174E+000
1,1,191,10.00000E+000,1.18927E-006,23.28364E+000
1,1,192,10.00000E+000,1.19304E-006,23.40552E+000
1,1,193,10.00000E+000,1.19678E-006,23.52768E+000
1,1,194,10.00000E+000,1.21189E-006,23.64993E+000
1,1,195,10.00000E+000,1.19307E-006,23.77178E+000
1,1,196,10.00000E+000,1.19765E-006,23.89363E+000
1,1,197,10.00000E+000,1.20063E-006,24.01559E+000
1,1,198,10.00000E+000,1.19528E-006,24.13743E+000
1,1,199,10.00000E+000,1.19345E-006,24.25928E+000
1,1,200,10.00000E+000,1.19937E-006,24.38114E+000
1,1,201,10.00000E+000,1.19898E-006,24.50305E+000
1,1,202,10.00000E+000,1.19996E-006,24.62492E+000
1,1,203,10.00000E+000,1.20169E-006,24.74677E+000
1,1,204,10.00000E+000,1.19905E-006,24.86978E+000
1,1,205,10.00000E+000,1.19969E-006,24.99167E+000
1,1,206,10.00000E+000,1.20116E-006,25.11363E+000
1,1,207,10.00000E+000,1.18872E-006,25.23549E+000
1,1,208,10.00000E+000,1.17816E-006,25.35741E+000
1,1,209,10.00000E+000,1.18050E-006,25.47926E+000
1,1,210,10.00000E+000,1.18760E-006,25.60119E+000
1,1,211,10.00000E+000,1.18449E-006,25.72310E+000
1,1,212,10.00000E+000,1.19444E-006,25.84497E+000
1,1,213,10.00000E+000,1.19178E-006,25.96681E+000
1,1,214,10.00000E+000,1.19289E-006,26.08866E+000
1,1,215,10.00000E+000,1.18770E-006,26.21051E+000
1,1,216,10.00000E+000,1.18431E-006,26.33265E+000
1,1,217,10.00000E+000,1.18450E-006,26.45490E+000
1,1,218,10.00000E+000,1.18502E-006,26.57690E+000
1,1,219,10.00000E+000,1.18721E-006,26.69882E+000
1,1,220,10.00000E+000,1.18932E-006,26.82069E+000
1,1,221,10.00000E+000,1.18496E-006,26.94260E+000
1,1,222,10.00000E+000,1.19235E-006,27.06448E+000
1,1,223,10.00000E+000,1.19282E-006,27.18633E+000
1,1,224,10.00000E+000,1.19533E-006,27.30817E+000
1,1,225,10.00000E+000,1.19019E-006,27.43003E+000
1,1,226,10.00000E+000,1.19811E-006,27.55189E+000
1,1,227,10.00000E+000,1.19559E-006,27.67376E+000
1,1,228,10.00000E+000,1.19085E-006,27.79562E+000
1,1,229,10.00000E+000,1.18713E-006,27.91748E+000
1,1,230,10.00000E+000,1.19167E-006,28.03942E+000
1,1,231,10.00000E+000,1.18477E-006,28.16130E+000
1,1,232,10.00000E+000,1.18042E-006,28.28324E+000
1,1,233,10.00000E+000,1.17061E-006,28.40512E+000
1,1,234,10.00000E+000,1.17736E-006,28.52704E+000
1,1,235,10.00000E+000,1.19188E-006,28.64890E+000
1,1,236,10.00000E+000,1.19645E-006,28.77076E+000
1,1,237,10.00000E+000,1.18884E-006,28.89263E+000
1,1,238,10.00000E+000,1.18179E-006,29.01454E+000
1,1,239,10.00000E+000,1.18977E-006,29.13640E+000
1,1,240,10.00000E+000,1.18041E-006,29.25824E+000
1,1,241,10.00000E+000,1.17908E-006,29.38015E+000
1,1,242,10.00000E+000,1.18887E-006,29.50203E+000
1,1,243,10.00000E+000,1.18891E-006,29.62396E+000
1,1,244,10.00000E+000,1.18054E-006,29.74595E+000
1,1,245,10.00000E+000,1.19200E-006,29.86830E+000
1,1,246,10.00000E+000,1.18299E-006,29.99016E+000
1,1,247,10.00000E+000,1.18043E-006,30.11209E+000
1,1,248,10.00000E+000,1.18831E-006,30.23395E+000
1,1,249,10.00000E+000,1.17786E-006,30.35580E+000
1,1,250,10.00000E+000,1.18926E-006,30.47765E+000
